"","x"
"612","Common squids NEI"
"613","Common torpedo"
"614","Conger eels, etc. NEI"
"615","Corkwing wrasse"
"616","Corneous wedge clam"
"617","Corrugated venus"
"618","Crangon shrimps NEI"
"619","Craylets, squat lobsters NEI"
"620","Crest-tail catsharks NEI"
"621","Crimson pasiphaeid"
"622","Croakers, drums NEI"
"623","Crystal shrimp"
"624","Cuckoo wrasse"
"625","Cunene horse mackerel"
"626","Cupped oysters NEI"
"627","Curled picarel"
"628","Cusk-eels, brotulas NEI"
"629","Cuttlefish, bobtail squids NEI"
"630","Cuttlefishes NEI"
"631","Daggertooth"
"632","Darwin's slimehead"
"633","Deep-sea crabs, geryons NEI"
"634","Deep-water catsharks"
"635","Deep-water ray"
"636","Deep-water stingray"
"637","Deeplet sea anemone"
"638","Demersal percomorphs NEI"
"639","Dentex NEI"
"640","Dogfish sharks NEI"
"641","Dogfish sharks, etc. NEI"
"642","Dogfishes NEI"
"643","Dogfishes and hounds NEI"
"644","Dogtooth grouper"
"645","Dogtooth tuna"
"646","Dories NEI"
"647","Drab sole"
"648","Dragonet"
"649","Drums NEI"
"650","Dulse"
"651","Dwarf bobtail squid"
"652","Eagle rays NEI"
"653","Eelpouts NEI"
"654","Electric ray"
"655","Electric rays NEI"
"656","Elegant bobtail squid"
"657","Elongate frostfish"
"658","Emerald wrasse"
"659","European edible sea urchin"
"660","European prickly cockle"
"661","Exasperating jujubine"
"662","False abalone"
"663","Finfishes NEI"
"664","Fivebeard rockling"
"665","Flat and cupped oysters NEI"
"666","Flat oysters NEI"
"667","Flatfishes NEI"
"668","Flying gurnard"
"669","Flying squids NEI"
"670","Flyingfishes NEI"
"671","Forkbeards NEI"
"672","Foureyed sole"
"673","Freshwater bream"
"674","Freshwater fishes NEI"
"675","Gadiformes NEI"
"676","Gag"
"677","Galapagos shark"
"678","Gastropods NEI"
"679","Gemellar’s lanternfish"
"680","Geryons NEI"
"681","Goatfishes, red mullets NEI"
"682","Gobies NEI"
"683","Golden grey mullet"
"684","Golden shrimp"
"685","Goldlined seabream"
"686","Great Mediterranean scallop"
"687","Great lanternshark"
"688","Green seaweeds"
"689","Grenadiers NEI"
"690","Grenadiers, rattails NEI"
"691","Grey wrasse"
"692","Ground croaker"
"693","Groundfishes NEI"
"694","Groupers NEI"
"695","Groupers, seabasses NEI"
"696","Grunts, sweetlips NEI"
"697","Guinean pike conger"
"698","Guitarfishes NEI"
"699","Gulf grouper"
"700","Gulf herring"
"701","Gulf menhaden"
"702","Gurnards NEI"
"703","Gurnards, searobins NEI"
"704","Hagfish"
"705","Hairtails NEI"
"706","Hairtails, scabbardfishes NEI"
"707","Hakes NEI"
"708","Hammerhead sharks NEI"
"709","Hapuka"
"710","Hatchetfish"
"711","Henslow’s swimming crab"
"712","Herrings, sardines NEI"
"713","Homarus lobsters NEI"
"714","Homole crab"
"715","Horned and musky octopuses"
"716","Houndsharks, smoothhounds NEI"
"717","Iberian nase"
"718","Iceland scallop"
"719","Imperial scaldfish"
"720","Indian triggerfish"
"721","Indo-Pacific gurnards"
"722","Inshore squids NEI"
"723","Island grouper"
"724","Island mackerel"
"725","Jack and horse mackerels NEI"
"726","Jacks, crevalles NEI"
"727","Japanese flying squid"
"728","Jellynose"
"729","Kelp snailfish"
"730","Kelps NEI"
"731","King crabs NEI"
"732","King crabs, stone crabs NEI"
"733","Kissing gourami"
"734","Knobby swimcrab"
"735","Koaro"
"736","Lake chub"
"737","Lake(=Common) whitefish"
"738","Lampreys NEI"
"739","Lanternfishes NEI"
"740","Lanternsharks NEI"
"741","Latchet(=Sharpbeak gurnard)"
"742","Law croaker"
"743","Leaping mullet"
"744","Lefteye flounders NEI"
"745","Leopard skate"
"746","Lesser flying squid"
"747","Lesser weever"
"748","Lightfoot crab"
"749","Lilliput longarm octopus"
"750","Limandas NEI"
"751","Limpet"
"752","Limpets NEI"
"753","Lings NEI"
"754","Little skate"
"755","Lobsters NEI"
"756","Long snouted lancetfish"
"757","Long-snouted seahorse"
"758","Longbill spearfish"
"759","Longfin mako"
"760","Longnose spurdog"
"761","Longtail croaker"
"762","Lookdown"
"763","Luvar"
"764","Mackerel sharks"
"765","Mackerel sharks,porbeagles NEI"
"766","Mackerels NEI"
"767","Mactra surf clams NEI"
"768","Madeira lantern fish"
"769","Madeiran smooth-head"
"770","Maja spider crabs NEI"
"771","Marine crabs NEI"
"772","Marine crustaceans NEI"
"773","Marine fishes NEI"
"774","Marine molluscs NEI"
"775","Marlin sucker"
"776","Marlins,sailfishes,etc. NEI"
"777","Meagres NEI"
"778","Mediterranean flyingfish"
"779","Mediterranean sand smelt"
"780","Mediterranean starry ray"
"781","Megalops shrimp"
"782","Midsize squid"
"783","Midway deep-sea coral"
"784","Mirror lanternfish"
"785","Monaco shrimp"
"786","Montagus seasnail"
"787","Moras NEI"
"788","Morays eels, etc. NEI"
"789","Mouse catshark"
"790","Mullets NEI"
"791","Musselcracker seabream"
"792","Mytilus mussels NEI"
"793","Nassau grouper"
"794","Natantian decapods NEI"
"795","Needlefishes NEI"
"796","Needlefishes, etc. NEI"
"797","Nilsson's pipefish"
"798","Northern cods NEI"
"799","Northern wolffish"
"800","Norwegian skate"
"801","Oceanic puffer"
"802","Octopuses NEI"
"803","Octopuses, etc. NEI"
"804","Olive green cockle"
"805","Ommastrephidae squids NEI"
"806","Orangeback flying squid"
"807","Orangefin tetra"
"808","Pacific anchoveta"
"809","Pacific chub mackerel"
"810","Pacific lobsterette"
"811","Painted comber"
"812","Painted sweetlips"
"813","Palaemon shrimps NEI"
"814","Palaemonid shrimps NEI"
"815","Palinurid spiny lobsters NEI"
"816","Pandalid shrimps NEI"
"817","Pandalus shrimps NEI"
"818","Pandoras NEI"
"819","Pargo breams NEI"
"820","Paromola"
"821","Parrot shrimp"
"822","Pelagic basslet"
"823","Pelagic fishes NEI"
"824","Pelagic percomorphs NEI"
"825","Pelagic stingray"
"826","Penaeid shrimps NEI"
"827","Penaeus shrimps NEI"
"828","Percoids NEI"
"829","Philippine catfish"
"830","Picarels NEI"
"831","Pilotfish"
"832","Pineconefish"
"833","Pink cusk-eel"
"834","Pink geryon"
"835","Plesionika shrimps NEI"
"836","Pod razor shell"
"837","Pompanos NEI"
"838","Porgies, seabreams NEI"
"839","Portuguese sole"
"840","Portunus swimcrabs NEI"
"841","Pudgy cuskeel"
"842","Puffers NEI"
"843","Queen crab"
"844","Rainbow wrasse"
"845","Raja rays NEI"
"846","Ratfishes NEI"
"847","Rays, stingrays, mantas NEI"
"848","Razor clams, knife clams NEI"
"849","Red grouper"
"850","Red snapping shrimp"
"851","Red-mouthed goby"
"852","Remo flounder"
"853","Requiem sharks NEI"
"854","Reticulate moray"
"855","Rhinoceros leatherjacket"
"856","Ribboned nori"
"857","Righteye flounders NEI"
"858","Ring-backed pipefish"
"859","River eels NEI"
"860","Roaches NEI"
"861","Rocklings NEI"
"862","Rockpool prawn"
"863","Roudi escolar"
"864","Rough pomfret"
"865","Rough ray"
"866","Round ray"
"867","Royal cucumber"
"868","Rudderfish"
"869","Ruffs, barrelfishes NEI"
"870","Rugose bonnet"
"871","Saburon helmet"
"872","Sailfin flyingfish"
"873","Sailray"
"874","Salmonoids NEI"
"875","Sand crab"
"876","Sand gaper"
"877","Sand tiger shark"
"878","Sand violet"
"879","Sardinellas NEI"
"880","Sardinia coral"
"881","Sargo breams NEI"
"882","Sauries NEI"
"883","Scads NEI"
"884","Scale-rayed wrasse"
"885","Scalloped bonnethead"
"886","Scallops NEI"
"887","Scarlet lobsterette"
"888","Scomber mackerels NEI"
"889","Scorpionfishes, gurnards NEI"
"890","Scorpionfishes, redfishes NEI"
"891","Scorpionfishes, rockfishes NEI"
"892","Scotsman seabream"
"893","Sea cactus"
"894","Sea catfishes NEI"
"895","Sea chubs NEI"
"896","Sea cucumbers NEI"
"897","Sea lettuces NEI"
"898","Sea mussels NEI"
"899","Sea thong"
"900","Sea urchins, etc. NEI"
"901","Seabasses NEI"
"902","Seaweeds NEI"
"903","Seerfishes NEI"
"904","Senegal seabream"
"905","Shads NEI"
"906","Shallow-water Cape hake"
"907","Shamefaced crab"
"908","Shark sucker"
"909","Sharks, rays, skates, etc. NEI"
"910","Sharktooth moray"
"911","Sheepshead"
"912","Shore rockling"
"913","Shortfin squids NEI"
"914","Shorthead redhorse"
"915","Silver pomfret"
"916","Silversides(=Sand smelts) NEI"
"917","Silvery pout"
"918","Slender river prawn"
"919","Slender rockfish"
"920","Slender scalyhead"
"921","Slimeheads NEI"
"922","Slipper lobsters NEI"
"923","Small red scorpionfish"
"924","Small sandeel"
"925","Smalltoothed argentine"
"926","Smooth lanternshark"
"927","Smooth sandeel"
"928","Smooth skate"
"929","Smoothback angelshark"
"930","Snaggletooth"
"931","Snake blenny"
"932","Snake mackerels, escolars NEI"
"933","Snakelocks anemone"
"934","Snappers NEI"
"935","Sockeye(=Red) salmon"
"936","Soft skate"
"937","Softhead grenadier"
"938","Solen razor clams NEI"
"939","Soles NEI"
"940","South American silver croaker"
"941","Spanish hogfish"
"942","Speckled shrimp"
"943","Spined pygmy shark"
"944","Spiny lobsters NEI"
"945","Spiny slipper shell"
"946","Sponges"
"947","Spottail spiny turbot"
"948","Squillids NEI"
"949","Stargazer"
"950","Steenbrasses NEI"
"951","Stingrays NEI"
"952","Stingrays, butterfly rays NEI"
"953","Stone king crab"
"954","Stout bobtail squid"
"955","Striped bass, hybrid"
"956","Striped marlin"
"957","Striped seasnail"
"958","Striped soldier shrimp"
"959","Sturgeons NEI"
"960","Sunfish"
"961","Surf clams NEI"
"962","Surmullets(=Red mullets) NEI"
"963","Swimming crabs, etc. NEI"
"964","Symphodus wrasses NEI"
"965","Tadpole fish"
"966","Tapertail"
"967","Tellins NEI"
"968","Thickback soles NEI"
"969","Thickened nassa"
"970","Thinlip grey mullet"
"971","Thor's scaldfish"
"972","Threadfins, tasselfishes NEI"
"973","Threadtail anthias"
"974","Three-bearded rockling"
"975","Toadfishes NEI"
"976","Tonguesole NEI"
"977","Toothed rock crab"
"978","Topknot"
"979","Transparent goby"
"980","Triggerfishes, durgons NEI"
"981","Trisopterus NEI"
"982","Trouts NEI"
"983","True lobsters,lobsterettes NEI"
"984","True tunas NEI"
"985","Truncate donax"
"986","Tuna-like fishes NEI"
"987","Tunas NEI"
"988","Turbots NEI"
"989","Two-row rock shell"
"990","Two-spotted clingfish"
"991","Two-spotted goby"
"992","Twospot largescale flounder"
"993","Unicorn leatherjacket filefish"
"994","Vadigo"
"995","Various sharks NEI"
"996","Various squids NEI"
"997","Velvet helcion"
"998","Venus clams NEI"
"999","Wakame"
"1000","Webbed flying squid"
"1001","Weeverfishes NEI"
"1002","Weevers NEI"
"1003","Wels(=Som) catfish"
"1004","West African croakers NEI"
"1005","West African pygmy herring"
"1006","Western softhead grenadier"
"1007","Whalehead dreamer"
"1008","Whiskered sole"
"1009","White glass shrimp"
"1010","White sardinella"
"1011","Whitemouth croaker"
"1012","Whitenose shark"
"1013","Whitetip reef shark"
"1014","Wolffishes(=Catfishes) NEI"
"1015","Wrasses, hogfishes, etc. NEI"
"1016","Yellowmouth barracuda"
"1017","Zebra danio"
"1018","Zebra turkeyfish"
"1019",NA
